1, 3, 1, 3, gelu, False, 62.67, 67.60
0, 3, 1, 3, relu, False, 62.35, 67.12
7, 3, 2, 5, gelu, False, 62.29, 67.11
6, 3, 2, 5, relu, False, 62.12, 66.78
3, 3, 1, 5, gelu, False, 63.75, 7045378.77
4, 3, 2, 3, relu, False, 62.20, 67.08
2, 3, 1, 5, relu, False, 62.78, 67.28
12, 4, 1, 3, relu, False, 63.29, 67.44
10, 3, 4, 5, relu, False, 61.49, 66.76
9, 3, 4, 3, gelu, False, 62.85, 68.15
13, 4, 1, 3, gelu, False, 62.93, 66.94
8, 3, 4, 3, relu, False, 61.64, 66.66
19, 4, 2, 5, gelu, False, 65.15, 68.94
17, 4, 2, 3, gelu, False, 64.11, 68.56
16, 4, 2, 3, relu, False, 62.53, 67.03
15, 4, 1, 5, gelu, False, 63.62, 67.98
14, 4, 1, 5, relu, False, 63.34, 67.17
23, 4, 4, 5, gelu, False, 65.45, 69.53
20, 4, 4, 3, relu, False, 64.61, 68.87
22, 4, 4, 5, relu, False, 62.16, 66.67
21, 4, 4, 3, gelu, False, 62.40, 66.85
